ParentTypeName,ReferenceName,ItemTypeName
TargetSampleSizeType,SampleSizeFormulaReference,ProcessingInstruction
SampleFrame,CustodianReference,Agent
SampleFrame,SourceFrameReference,SampleFrame
StageType,RecommendedFrameReference,SampleFrame
DevelopmentPlan,DevelopmentObjectReference,Maintainable Versionable
DevelopmentPlan,ContactReference,Agent
DevelopmentProcessStepType,PredecessorStepReference,DevelopmentProcessStepType
DevelopmentProcessStepType,SuccessorStepReference,DevelopmentProcessStepType
DevelopmentProcessStepType,DevelopmentObjectReference,Maintainable Versionable
DevelopmentProcessStepType,ResponsibleAgencyReference,Agent
ResourceUsedType,ResourceObjectReference,Maintainable Versionable
Variable,WeightingProcessReference,Weighting
Variable,MeasurementReference,MeasurementItem
ClassificationCorrespondenceTable,OwnerReference,Agent
ClassificationCorrespondenceTable,MaintenanceUnitReference,Agent
ClassificationCorrespondenceTable,ContactPersonReference,Agent
ClassificationCorrespondenceTable,SourceClassificationReference,StatisticalClassification
ClassificationCorrespondenceTable,TargetClassificationReference,StatisticalClassification
ClassificationCorrespondenceTable,SourceLevelReference,ClassificationLevel
ClassificationCorrespondenceTable,TargetLevelReference,ClassificationLevel
ClassificationIndex,MaintenanceUnitReference,Agent
ClassificationIndex,ContactPersonReference,Agent
ClassificationItem,DefiningConceptReference,Concept
ClassificationItem,ExcludedClassificationItemReference,ClassificationItem
ClassificationItem,LevelReference,ClassificationLevel
ClassificationItem,SuccessorClassificationItemReference,ClassificationItem
ClassificationItem,ParentClassificationItemReference,ClassificationItem
ClassificationLevel,DefiningConceptReference,Concept
ClassificationSeries,UnitTypeClassifiedReference,UnitType
ClassificationSeries,OwnerReference,Agent
ClassificationSeries,CurrentStatisticalClassificationReference,StatisticalClassification
StatisticalClassification,MaintenanceUnitReference,Agent
StatisticalClassification,ContactPersonReference,Agent
StatisticalClassification,ClassificationLevelReference,ClassificationLevel
StatisticalClassification,ClassificationItemReference,ClassificationItem
StatisticalClassification,ClassificationIndexReference,ClassificationIndex
StatisticalClassification,PredecessorReference,StatisticalClassification
StatisticalClassification,SuccessorReference,StatisticalClassification
StatisticalClassification,DerivedFromReference,StatisticalClassification
StatisticalClassification,VariantOfReference,StatisticalClassification
ClassificationIndexEntryType,CodesClassificationItemReference,ClassificationItem
ClassificationMapType,SourceClassificationItemReference,ClassificationItem
ClassificationMapType,TargetClassificationItemReference,ClassificationItem
DevelopmentObjectType,MeasurementReference,MeasurementItem
ResourcePackage,DefiningConceptReference,Concept
Group,DefiningConceptReference,Concept
LocalHoldingPackage,DefiningConceptReference,Concept
StudyUnit,DefiningConceptReference,Concept
Weighting,BasedOnSampleReference,Sample
SamplingStage,RecommendedFrameReference,SampleFrame
SamplingStage,SamplingUnit,UnitType
DevelopmentStep,ResponsibleAgencyReference,Agent
Sample,SampleLocationReference,OtherMaterial
Sample,SamplingPlanImplementedReference,SamplingPlan
Sample,SampleFrameUsedReference,SampleFrame
Sample,ComponentSampleReference,Sample
Concept,ExcludesConceptReference,Concept
Concept,IncludesConceptReference,Concept
ApprovalReview,ReviewObjectReference,Maintainable Versionable
ApprovalReview,AgencyOrganizationReference,Agent
InformationClassification,AgencyOrganizationReference,Agent
GenerationInstruction,InputQuestionReference,Question
GenerationInstruction,InputMeasurementReference,MeasurementItem
GenerationInstruction,InputVariableReference,Variable
SamplingStage,RecommendedSampleFrameReference,SampleFrame
SamplingStage,SamplingUnitReference,UnitType
ProprietaryRecordLayout,DefaultNumericDataTypeReference,ManagedNumericRepresentation
ProprietaryRecordLayout,DefaultTextDataTypeReference,ManagedTextRepresentation
ProprietaryRecordLayout,DefaultDateTimeDataTypeReference,ManagedDateTimeRepresentation
ProprietaryRecordLayout,CodedDataAsNumeric,ManagedNumericRepresentation
ProprietaryRecordLayout,CodedDataAsText,ManagedTextRepresentation
ProprietaryRecordLayout,DefaultVariableSchemeReference,VariableScheme
